IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
DESKTOP-Q00J1OI,12:29:03,4.451494,1074.1444,0.0,9.8912256E8,1.35638344E10,1649303100
URMILA-PC,12:29:06,1.541137,4304.767,0.399941,4.3617239E9,5.2997038E9,7380075000
mahananda,12:29:09,39.054173,7516.5503,69.516304,1.28223232E9,4.9437164E9,8332245000
DESKTOP-Q00J1OI,12:29:13,51.00957,19952.031,398.76147,9.1516109E8,1.36353055E10,7103141900
URMILA-PC,12:29:26,0.978558,4307.355,2.200079,4.28842598E9,5.3565276E9,4165681900
mahananda,12:29:29,6.25447,415.04883,0.999155,1.20962253E9,4.876202E9,8174479700
DESKTOP-Q00J1OI,12:29:34,36.21878,5661.505,97.99411,9.5566643E8,1.36068874E10,9122833100
mahananda,12:29:39,21.649124,6488.8696,179.20308,1.30671411E9,4.8784343E9,4693428500
URMILA-PC,12:29:46,1.091468,4280.9565,0.79783,4.29082624E9,5.3576745E9,8176991400
DESKTOP-Q00J1OI,12:29:55,22.182571,1496.9705,0.59823,8.8564531E8,1.36912159E10,2300754800
mahananda,12:30:10,2.075115,665.9699,0.399502,1.31131392E9,4.8676577E9,1923711800
URMILA-PC,12:30:16,5.606839,10930.342,25.796087,4.2965647E9,5.339947E9,5400094000
DESKTOP-Q00J1OI,12:30:27,24.498201,2279.6567,0.598492,8.6390784E8,1.36953283E10,7604874200
mahananda,12:31:30,3.51039,715.082,14.776896,1.28003277E9,4.8827556E9,1116382800
URMILA-PC,12:31:26,1.263819,4539.799,0.0,4.3233894E9,5.3218386E9,1116194600
DESKTOP-Q00J1OI,12:31:41,25.395605,8579.967,137.04932,9.7363558E8,1.37150956E10,8845562100
mahananda,12:31:51,14.33779,3706.4114,42.74017,1.23572634E9,4.9241784E9,9626998200
URMILA-PC,12:31:56,0.75453,4601.3286,12.798133,4.3307991E9,5.3142159E9,8149931500
mahananda,12:32:11,8.266999,1357.4845,16.773859,1.27380685E9,4.8894894E9,5453207200
DESKTOP-Q00J1OI,12:32:12,27.216066,1948.3396,22.942766,1.02009242E9,1.36412406E10,11614255600
DESKTOP-Q00J1OI,12:32:22,40.105663,9877.844,218.60704,9.8844672E8,1.36571044E10,5596588200
URMILA-PC,12:32:16,1.039299,3631.3079,0.399418,4.3419607E9,5.3037056E9,5596894800
mahananda,12:32:21,8.335325,2935.6335,51.88042,1.33515674E9,4.6937375E9,2429829200
URMILA-PC,12:32:26,2.15711,9258.462,58.367607,4.3321098E9,5.3209252E9,5531536700
